HHour,EventSequence
2020/04/21_20,"['50b72e1d', '50b72e1d', '50b72e1d', '50b72e1d', '50b72e1d', '50b72e1d', '50b72e1d', '50b72e1d']"
2020/04/21_21,"['a18467f7', 'a18467f7']"
2020/04/21_23,"['a18467f7', 'a18467f7']"
2020/04/22_00,"['a18467f7', 'a18467f7']"
2020/04/22_04,"['b51d5520', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7']"
2020/04/04_05,"['1fa592f1', '1fa592f1']"
2020/04/04_07,"['a18467f7', 'a18467f7']"
2020/04/04_11,"['0f0947bc', '0f0947bc']"
2020/04/04_14,"['a18467f7', 'a18467f7']"
2020/04/04_17,['a18467f7']
2020/04/04_18,"['a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7']"
2020/04/04_19,"['a18467f7', 'a18467f7']"
2020/04/04_22,"['a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7']"
2020/04/04_23,"['a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7']"
2020/04/05_00,"['a18467f7', 'a18467f7']"
2020/04/05_04,['b51d5520']
2020/04/26_08,"['a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7']"
2020/04/26_09,"['a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'b51d5520', 'a18467f7', 'a18467f7']"
2020/04/26_10,"['a18467f7', 'a18467f7', 'a18467f7', 'a18467f7']"
2020/04/26_12,"['a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7']"
2020/04/26_14,"['a18467f7', 'a18467f7']"
2020/04/26_17,['adc2752b']
2020/04/26_19,"['a18467f7', 'a18467f7']"
2020/04/26_20,"['a18467f7', 'a18467f7']"
2020/04/26_22,"['0f0947bc', '0f0947bc', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7']"
2020/04/26_23,['adc2752b']
2020/04/27_01,"['a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7']"
2020/04/27_04,['b51d5520']
2020/04/14_07,"['a18467f7', 'a18467f7']"
2020/04/14_08,"['a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7']"
2020/04/14_09,"['a18467f7', 'a18467f7']"
2020/04/14_12,"['a18467f7', 'a18467f7', 'a18467f7', 'a18467f7']"
2020/04/14_17,"['a18467f7', 'a18467f7', 'a18467f7', 'a18467f7']"
2020/04/14_20,"['a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7']"
2020/04/14_21,"['a18467f7', 'a18467f7']"
2020/04/14_22,"['a18467f7', 'a18467f7']"
2020/04/15_03,"['a18467f7', 'a18467f7', 'a18467f7', 'a18467f7']"
2020/04/15_04,['b51d5520']
2020/04/23_05,"['a18467f7', 'a18467f7']"
2020/04/23_06,"['a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7']"
2020/04/23_11,"['a18467f7', 'a18467f7']"
2020/04/23_13,['adc2752b']
2020/04/23_14,"['adc2752b', 'a18467f7', 'a18467f7']"
2020/04/23_16,['adc2752b']
2020/04/23_18,"['a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', '8122d98d', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', '8122d98d', 'a18467f7', '8122d98d', 'a18467f7', '8122d98d', 'a18467f7']"
2020/04/23_21,"['a18467f7', 'a18467f7', 'a18467f7', 'a18467f7']"
2020/04/23_22,"['a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', '8122d98d', 'a18467f7']"
2020/04/23_23,"['e2b8471b', 'e2b8471b', '53d9a315', '53d9a315', '53d9a315']"
2020/04/24_00,"['a18467f7', 'a18467f7']"
2020/04/24_02,"['adc2752b', 'adc2752b', 'adc2752b', 'adc2752b', 'adc2752b', 'adc2752b', 'a18467f7', 'a18467f7']"
2020/04/24_03,"['a18467f7', 'a18467f7']"
2020/04/24_04,['b51d5520']
2020/04/01_06,"['a18467f7', 'a18467f7']"
2020/04/01_08,"['a18467f7', 'a18467f7']"
2020/04/01_09,"['a18467f7', 'a18467f7']"
2020/04/01_10,"['8122d98d', 'a18467f7', '0f0947bc', '0f0947bc']"
2020/04/01_11,"['a18467f7', 'a18467f7', 'a18467f7', 'a18467f7']"
2020/04/01_14,"['a18467f7', 'a18467f7']"
2020/04/01_18,"['a18467f7', 'a18467f7']"
2020/04/01_20,"['a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', '8122d98d', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', '8122d98d', 'a18467f7', '8122d98d', 'a18467f7', '8122d98d', 'a18467f7', 'dcbf0c39', 'dcbf0c39']"
2020/04/01_22,"['a18467f7', 'a18467f7', 'a18467f7', 'a18467f7']"
2020/04/01_23,"['a18467f7', 'a18467f7']"
2020/04/02_00,"['a18467f7', 'a18467f7']"
2020/04/02_02,"['a18467f7', 'a18467f7']"
2020/04/02_03,"['8122d98d', 'a18467f7']"
2020/04/02_04,"['b51d5520', 'a18467f7', 'a18467f7']"
2020/04/22_05,"['50b72e1d', '50b72e1d', '50b72e1d']"
2020/04/22_06,"['a18467f7', 'a18467f7', '8122d98d', 'a18467f7', '50b72e1d']"
2020/04/22_07,"['a18467f7', 'a18467f7']"
2020/04/22_09,"['a18467f7', 'a18467f7']"
2020/04/22_10,"['a18467f7', 'a18467f7']"
2020/04/22_11,['50b72e1d']
2020/04/22_12,['adc2752b']
2020/04/22_13,"['a18467f7', 'a18467f7', 'adc2752b']"
2020/04/22_14,"['a18467f7', 'a18467f7']"
2020/04/22_15,"['a18467f7', 'a18467f7', 'a18467f7', 'a18467f7']"
2020/04/22_16,"['a18467f7', 'a18467f7', 'a18467f7', 'a18467f7']"
2020/04/22_18,"['a18467f7', 'a18467f7']"
2020/04/22_19,"['a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7']"
2020/04/22_20,"['a18467f7', 'a18467f7', 'a18467f7', 'a18467f7']"
2020/04/22_21,['adc2752b']
2020/04/22_22,"['a18467f7', 'a18467f7']"
2020/04/22_23,"['a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7']"
2020/04/23_00,"['a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', '8122d98d', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', 'a18467f7', '8122d98d', 'a18467f7', '8122d98d', 'a18467f7', '8122d98d', 'a18467f7']"
2020/04/23_01,"['a18467f7', 'a18467f7', 'a18467f7', 'a18467f7']"
2020/04/23_04,['b51d5520']
2020/04/09_05,['a18467f7']
2020/04/09_09,"['a18467f7', 'a18467f7']"
2020/04/09_10,"['b51d5520', '673ed410']"
2020/04/09_11,"['a18467f7', 'a18467f7']"
2020/04/09_12,"['a18467f7', 'a18467f7']"
2020/04/09_14,"['a18467f7', 'a18467f7']"
2020/04/09_17,"['a18467f7', 'a18467f7']"
